Post ID,Legacy ID,Post URL,Facebook URL,Input URL,Time Posted,User ID,User Name,Post Text,Group Title,Facebook ID,Likes Count,Shares Count,Comments Count,Reaction Like Count,Reaction Love Count,Reaction Wow Count,Reaction Care Count,Reaction Haha Count,Reaction Sad Count,Top Reactions Count,Feedback ID,Has Attachments,Attachment Count,Has Top Comments,Top Comments Count,Scraped At,Scraped Date,Scraped Time,Attachments Info,Top Comments,Post Facebook ID,Page ID,Page Name,Top Level URL,Timestamp,Link,Thumbnail,Source Type
,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No,0.0,No,0.0,2025-06-18 11:45:33,2025-06-18,11:45:33,,,,,,,,,,
771091601910976,,https://www.facebook.com/primebankofficial/videos/8204026676388315/,https://www.facebook.com/primebankofficial,https://www.facebook.com/primebankofficial,2025-06-18T04:29:13.000Z,,,"Customer Engagement Program at Baridhara Branch, organized by Prime Bank Neera.

#PrimeBank #Neera #ami_neera #CustomerEngagement #PowerToYou",,100070304281907,32,4,0,,,,,,,,,,,,,2025-06-18 12:03:17,2025-06-18,12:03:17,,,,,primebankofficial,https://www.facebook.com/100070304281907/posts/771091601910976,1750220953.0,,,Facebook Page
770598281960308,,https://www.facebook.com/primebankofficial/posts/pfbid02w1wksaJGjWS5WfakmWiApoUVwGD1i6utVrps6qabyUw9unYMZkgFzuc8qxvuHVQcl,https://www.facebook.com/primebankofficial,https://www.facebook.com/primebankofficial,2025-06-17T13:34:14.000Z,,,"Choose your preferred investment option with Prime Bank and enjoy 15% 𝐓𝐀𝐗 𝐑𝐄𝐁𝐀𝐓𝐄!

For details, visit: https://tinyurl.com/537ptx9n

#PrimeBank #taxrebates #wealthmanagement #investment",,100070304281907,39,4,0,,,,,,,,,,,,,2025-06-18 12:03:17,2025-06-18,12:03:17,,,,,primebankofficial,https://www.facebook.com/100070304281907/posts/770598281960308,1750167254.0,https://tinyurl.com/537ptx9n,,Facebook Page
770561111964025,,https://www.facebook.com/primebankofficial/posts/pfbid0vc8xtcfZn4YqmGJ2nEnwWfcM8V3YLHW5hz4XDZmoM5btjTzfzgjWXU9PAM3edNTql,https://www.facebook.com/primebankofficial,https://www.facebook.com/primebankofficial,2025-06-17T12:32:34.000Z,,,"কৃষি ঋণ সহজ হলেই আমাদের কৃষি খাতে আসবে সমৃদ্ধি।

তাই আবাদ ঋণ, খামার ঋণ এবং নবান্ন ঋণ নিয়ে কৃষকদের পাশে আছে প্রাইম ব্যাংক এজেন্ট ব্যাংকিং! 

#agriculture #agriloans #farming #agribusiness #loans #PrimeBank",,100070304281907,105,14,4,,,,,,,,,,,,,2025-06-18 12:03:17,2025-06-18,12:03:17,,,,,primebankofficial,https://www.facebook.com/100070304281907/posts/770561111964025,1750163554.0,https://www.primebank.com.bd/,,Facebook Page
770491848637618,,https://www.facebook.com/primebankofficial/posts/pfbid02EDacGAhepRwLccKT44z72WtprthGi53Sui5vYJaYJ34a7eGpnQmFoawSn8B1aghyl,https://www.facebook.com/primebankofficial,https://www.facebook.com/primebankofficial,2025-06-17T10:30:12.000Z,,,"Prime Bank has signed a strategic agreement with SARTO & SUIT EXPRESS to offer exclusive privileges to its Priority Banking customers and cardholders. The signing ceremony took place at the Bank’s corporate office in Gulshan.

Under this partnership, Prime Bank’s Priority Banking customers and cardholders will enjoy attractive benefits and privileges on bespoke tailoring and premium ready-to-wear services offered by SARTO & SUIT EXPRESS.

The agreement was formally signed by Md. Nazeem A. Choudhury, Deputy Managing Director of Prime Bank PLC. and Shehzad Aaqib, Founder and Creative Director of SARTO & SUIT EXPRESS. Also present at the ceremony were Joarder Tanvir Faisal, Executive Vice President & Head of Cards and Retail Asset at Prime Bank; Tysir Khan, Deputy Managing Director of JK Group of Industry along with other senior officials from both organizations.

This collaboration reflects Prime Bank’s ongoing commitment to delivering premium lifestyle privileges and curated experiences for its valued Priority customers.

#PriorityBanking #PrimeBank",,100070304281907,157,8,8,,,,,,,,,,,,,2025-06-18 12:03:17,2025-06-18,12:03:17,,,,,primebankofficial,https://www.facebook.com/100070304281907/posts/770491848637618,1750156212.0,https://www.primebank.com.bd/find-locations,,Facebook Page
770358678650935,,https://www.facebook.com/primebankofficial/posts/pfbid02gPATiSVsSf6hwvDYeuMCb7zPjXLSmhCxWV6X3N1k3qurhUMXfAdTi4UvegtJYb5Tl,https://www.facebook.com/primebankofficial,https://www.facebook.com/primebankofficial,2025-06-17T06:00:58.000Z,,,"🎉 প্রাইম ব্যাংকের নতুন শাখা এখন চাঁদপুরে! ৩০ বছরের আস্থা ও আধুনিক ব্যাংকিং সেবার ধারাবাহিকতায় এবার চাঁদপুরে আমাদের নতুন শাখার যাত্রা শুরু।

ঠিকানা: প্রিমিয়ার টাওয়ার, হাজী মহসিন রোড (২য় তলা), আলিমপাড়া, চাঁদপুর সদর, চাঁদপুর

✅ নতুন ঠিকানায় আরও আধুনিক ও সাশ্রয়ী ব্যাংকিং সুবিধা!

#PrimeBank #NewBranch #CustomerFirst #SmartBanking #Chandpur #BranchExpansion",,100070304281907,345,58,50,,,,,,,,,,,,,2025-06-18 12:03:17,2025-06-18,12:03:17,,,,,primebankofficial,https://www.facebook.com/100070304281907/posts/770358678650935,1750140058.0,,,Facebook Page
769796352040501,,https://www.facebook.com/primebankofficial/posts/pfbid02kb92uCaPRMw47fjTJLiQjVgZTjeVSDjE3jQZjhT8szrwFUaUbe74GNULPopd2wqkl,https://www.facebook.com/primebankofficial,https://www.facebook.com/primebankofficial,2025-06-16T13:32:55.000Z,,,"মাইপ্রাইম অ্যাপে রেজিস্ট্রেশন করলেই পাচ্ছেন ১০০ টাকা ক্যাশব্যাক!

তাই দেরি না করে এখনি ডাউনলোড করুন মাইপ্রাইম অ্যাপ আর রেজিস্ট্রেশন করে ফেলুন।

মাইপ্রাইম অ্যাপ ডাউনলোড করতে ক্লিক করুন: tinyurl.com/Download-MyPrime

#moretoyou #MyPrime #PrimeBank",,100070304281907,111,3,12,,,,,,,,,,,,,2025-06-18 12:03:17,2025-06-18,12:03:17,,,,,primebankofficial,https://www.facebook.com/100070304281907/posts/769796352040501,1750080775.0,http://tinyurl.com/Download-MyPrime,,Facebook Page
769144355439034,,https://www.facebook.com/primebankofficial/posts/pfbid02BcS6Tg9ZxP2Ha2DJwViq8bm6cr7dFcoT8oNaTxccLZYYVdaH6YLpM86DfYzerVeul,https://www.facebook.com/primebankofficial,https://www.facebook.com/primebankofficial,2025-06-15T18:00:20.000Z,,,"আন্তর্জাতিক ফ্যামিলি রেমিট্যান্স দিবসে আমরা শ্রদ্ধা জানাই তাঁদের, যারা দেশের মাটির স্বপ্ন বুনে চলেছেন দূরভূমি থেকে। তাদের পাঠানো প্রতিটি রেমিট্যান্স হয়ে উঠুক পরিবারের নিরাপত্তার ভিত্তি - প্রাইম পরিজন সেভিংস একাউন্টের মাধ্যমে।

#PrimeBankPLC #PrimePorijon #InsuranceBenefits #PorijonSavingsAccount #RemittanceForFamily #InternationalDayOfFamilyRemittances",,100070304281907,120,7,9,,,,,,,,,,,,,2025-06-18 12:03:17,2025-06-18,12:03:17,,,,,primebankofficial,https://www.facebook.com/100070304281907/posts/769144355439034,1750010420.0,http://onelink.to/7pbj6v,,Facebook Page
768681448818658,,https://www.facebook.com/primebankofficial/posts/pfbid0pz9RDenJbUi6fgZYeSR5WssdLD6jAPDLmwPviRgiyKuuiPp848xrgMqoUdXDQLDRl,https://www.facebook.com/primebankofficial,https://www.facebook.com/primebankofficial,2025-06-15T06:59:30.000Z,,,"⭐️ আগামীর ব্যাংকিং নিয়ে প্রাইম ব্যাংক এখন দক্ষিণ বনশ্রী, ঢাকায়! 

আপনার প্রয়োজনীয় সকল ব্যাংকিং সেবা পেতে আমাদের নতুন এজেন্ট আউটলেটে আসুন এবং বাড়ির কাছেই পেয়ে যান আধুনিক ব্যাংকিং সুবিধা।

🏘️ আয়ান এন্টারপ্রাইজ, বাড়ি- ৮৪, রোড- ১৪, ব্লক- এইচ, দক্ষিণ বনশ্রী, ঢাকা।

#dhaka #dps #fdr #savings #remittance #AgentBanking #PrimeBank",,100070304281907,75,4,9,,,,,,,,,,,,,2025-06-18 12:03:17,2025-06-18,12:03:17,,,,,primebankofficial,https://www.facebook.com/100070304281907/posts/768681448818658,1749970770.0,,,Facebook Page
725429063143897,,https://www.facebook.com/primebankofficial/posts/1035501142023675:1035501142023675,https://www.facebook.com/primebankofficial,https://www.facebook.com/primebankofficial,2025-06-15T04:44:47.000Z,,,,,100070304281907,540,13,37,,,,,,,,,,,,,2025-06-18 12:03:17,2025-06-18,12:03:17,,,,,primebankofficial,https://www.facebook.com/100070304281907/posts/725429063143897,1749962687.0,,,Facebook Page
